"scenario","param_adjacent_overlap","param_ar1_rho","param_categorical_accuracy","param_categorical_contamination","param_family","param_interaction_state","param_k","param_moon_noise_sd","param_n","param_n_per_moon","param_p_numeric_noise","param_p_numeric_signal","param_q_categorical_noise","param_q_categorical_signal","setting_id","prop_nn","rho","numeric_block_weight","method","method_label","affinity","attempted_replicates","successful_results","mean_ARI","median_ARI","sd_ARI","mcse_mean_ARI"
"corrected_marginal_overlap","0.1","0.5","0.6",NA,"gaussian",NA,"3",NA,"90",NA,"0","6","0","4",1,0.1,0.25,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","gaussian",1,1,0.342575863015623,0.342575863015623,NA,NA
"corrected_marginal_overlap","0.1","0.5","0.6",NA,"gaussian",NA,"3",NA,"90",NA,"0","6","0","4",1,0.1,0.25,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","selftune",1,1,0.248413026211279,0.248413026211279,NA,NA
"corrected_marginal_overlap","0.1","0.5","0.6",NA,"gaussian",NA,"3",NA,"90",NA,"0","6","0","4",1,0.1,0.25,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","gaussian",1,1,0.342575863015623,0.342575863015623,NA,NA
"corrected_marginal_overlap","0.1","0.5","0.6",NA,"gaussian",NA,"3",NA,"90",NA,"0","6","0","4",1,0.1,0.25,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","selftune",1,1,0.248413026211279,0.248413026211279,NA,NA
"corrected_marginal_overlap","0.1","0.5","0.6",NA,"gaussian",NA,"3",NA,"90",NA,"0","6","0","4",1,0.1,0.25,1,"DKSS_SC","DKSS dependency-aware dissimilarity (spectral clustering)","gaussian",1,1,0.370209486442934,0.370209486442934,NA,NA
"corrected_marginal_overlap","0.1","0.5","0.6",NA,"gaussian",NA,"3",NA,"90",NA,"0","6","0","4",1,0.1,0.25,1,"DKSS_SC","DKSS dependency-aware dissimilarity (spectral clustering)","selftune",1,1,0.552314452690285,0.552314452690285,NA,NA
"corrected_marginal_overlap","0.1","0.5","0.6",NA,"gaussian",NA,"3",NA,"90",NA,"0","6","0","4",1,0.1,0.25,1,"Euclidean_onehot_SC","Standardized Euclidean one-hot dissimilarity (spectral clustering)","gaussian",1,1,0.482970596300146,0.482970596300146,NA,NA
"corrected_marginal_overlap","0.1","0.5","0.6",NA,"gaussian",NA,"3",NA,"90",NA,"0","6","0","4",1,0.1,0.25,1,"Euclidean_onehot_SC","Standardized Euclidean one-hot dissimilarity (spectral clustering)","selftune",1,1,0.555791406115541,0.555791406115541,NA,NA
"corrected_marginal_overlap","0.1","0.5","0.6",NA,"gaussian",NA,"3",NA,"90",NA,"0","6","0","4",1,0.1,0.25,1,"Gower_SC","Gower dissimilarity (spectral clustering)","gaussian",1,1,0.506727314425503,0.506727314425503,NA,NA
"corrected_marginal_overlap","0.1","0.5","0.6",NA,"gaussian",NA,"3",NA,"90",NA,"0","6","0","4",1,0.1,0.25,1,"Gower_SC","Gower dissimilarity (spectral clustering)","selftune",1,1,0.579950701578951,0.579950701578951,NA,NA
